  280,20151104,    1,   92,    0,10182,   92
  280,20151104,    2,   79,    0,10179,   97
  280,20151104,    3,   71,    0,10176,   98
  280,20151104,    4,   61,    0,10174,   98
  280,20151104,    5,   49,    0,10172,   98
  280,20151104,    6,   39,    0,10170,   98
  280,20151104,    7,   46,    0,10173,   98
  280,20151104,    8,   67,    0,10173,   95
  280,20151104,    9,   94,    0,10173,   84
  280,20151104,   10,  119,    0,10173,   78
  280,20151104,   11,  129,    0,10171,   77
  280,20151104,   12,  140,    0,10166,   75
  280,20151104,   13,  142,    0,10165,   75
  280,20151104,   14,  149,    0,10164,   74
  280,20151104,   15,  145,    0,10162,   78
  280,20151104,   16,  140,    0,10162,   81
  280,20151104,   17,  128,    0,10165,   86
  280,20151104,   18,  127,    0,10165,   85
  280,20151104,   19,  129,    0,10166,   84
  280,20151104,   20,  127,    0,10167,   92
  280,20151104,   21,  128,    0,10169,   88
  280,20151104,   22,  125,    0,10169,   89
  280,20151104,   23,  127,    0,10172,   91
  280,20151104,   24,  128,   -1,10175,   93
  280,20151105,    1,  124,   -1,10179,   95
  280,20151105,    2,  119,    0,10178,   95
  280,20151105,    3,  113,    0,10180,   97
  280,20151105,    4,  115,    0,10180,   96
  280,20151105,    5,  120,    1,10180,   97
  280,20151105,    6,  118,   -1,10181,   97
  280,20151105,    7,  115,    0,10185,   97
  280,20151105,    8,  116,   -1,10188,   97
  280,20151105,    9,  127,    0,10187,   94
  280,20151105,   10,  136,    0,10188,   90
  280,20151105,   11,  148,    0,10186,   86
  280,20151105,   12,  147,    0,10184,   86
  280,20151105,   13,  144,    0,10181,   86
  280,20151105,   14,  142,    0,10177,   88
  280,20151105,   15,  140,    1,10178,   91
  280,20151105,   16,  135,   10,10173,   96
  280,20151105,   17,  132,    5,10169,   97
  280,20151105,   18,  133,    0,10167,   96
  280,20151105,   19,  137,    1,10163,   94
  280,20151105,   20,  139,    1,10162,   92
  280,20151105,   21,  136,   13,10166,   96
  280,20151105,   22,  136,   14,10163,   97
  280,20151105,   23,  135,    3,10165,   97
  280,20151105,   24,  136,    7,10160,   97
  280,20151106,    1,  137,   11,10157,   98
  280,20151106,    2,  137,   11,10151,   98
  280,20151106,    3,  139,    2,10148,   97
  280,20151106,    4,  139,    3,10148,   98
  280,20151106,    5,  140,    1,10149,   98
  280,20151106,    6,  140,    1,10151,   98
  280,20151106,    7,  141,    1,10155,   98
  280,20151106,    8,  143,    1,10160,   97
  280,20151106,    9,  142,   -1,10164,   97
  280,20151106,   10,  145,    0,10168,   94
  280,20151106,   11,  151,    0,10170,   91
  280,20151106,   12,  153,    0,10170,   89
  280,20151106,   13,  146,    0,10172,   89
  280,20151106,   14,  146,    0,10174,   90
  280,20151106,   15,  146,    0,10173,   91
  280,20151106,   16,  143,    0,10170,   92
  280,20151106,   17,  144,    0,10163,   91
  280,20151106,   18,  149,    1,10161,   94
  280,20151106,   19,  145,   32,10157,   97
  280,20151106,   20,  148,    2,10156,   98
